"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 28 12:09:16 GMT 2025","Mon Jul 28 12:09:21 GMT 2025","5057","","testsUI.HomePageTests","","testsUI.HomePageTests","checkHomePageUrlAndTitleTest","Check HomePage url",""
"passed","Mon Jul 28 12:05:03 GMT 2025","Mon Jul 28 12:05:03 GMT 2025","579","","tests.AuthorizationApiTests","","tests.AuthorizationApiTests","validAuthResponseTest","Checking valid guest token response",""
"passed","Mon Jul 28 12:08:31 GMT 2025","Mon Jul 28 12:08:36 GMT 2025","4722","","testsUI.CreateAccountTests","","testsUI.CreateAccountTests","checkCreateAccountPageUrlAndTitleTest","Check 'Create an account' url and title text",""
"passed","Mon Jul 28 12:06:45 GMT 2025","Mon Jul 28 12:07:18 GMT 2025","33217","","testsUI.BagTests","","testsUI.BagTests","addItemFromSearchToTheBagAndRemove","Select item from search, add it to the bag and remove item from the bag",""
"passed","Mon Jul 28 12:04:58 GMT 2025","Mon Jul 28 12:05:02 GMT 2025","3581","","tests.AuthorizationApiTests","","tests.AuthorizationApiTests","validGuestTokenTest","Checking valid guest token",""
"passed","Mon Jul 28 12:09:08 GMT 2025","Mon Jul 28 12:09:12 GMT 2025","4238","","testsUI.HomePageTests","","testsUI.HomePageTests","checkFavoritesIconCanBeClickedAndFavoritesTitleIsDisplayed","Check 'Favorites' icon can be clicked and 'Favorites' title text is displayed",""
"passed","Mon Jul 28 12:09:29 GMT 2025","Mon Jul 28 12:09:33 GMT 2025","3942","","testsUI.HomePageTests","","testsUI.HomePageTests","checkSignInAndCreateAccountButtonAreDisplayedOnAccountModal","'Sigh in' and 'Create account' button are visible after clicking on Account icon",""
"passed","Mon Jul 28 12:08:36 GMT 2025","Mon Jul 28 12:08:41 GMT 2025","5764","","testsUI.CreateAccountTests","","testsUI.CreateAccountTests","createAccountWithoutBirthDate","Trying to create an account without birth date",""
"passed","Mon Jul 28 12:09:24 GMT 2025","Mon Jul 28 12:09:29 GMT 2025","5197","","testsUI.HomePageTests","","testsUI.HomePageTests","searchForNonExistingItem","Check message when search non existing item",""
"passed","Mon Jul 28 12:06:13 GMT 2025","Mon Jul 28 12:06:45 GMT 2025","31971","","testsUI.BagTests","","testsUI.BagTests","addItemFromSearchToTheBagAndGoToCheckout","Select item from search, add it to the bag and go to checkout page",""
